data;temp_avg;temp_min;temp_max;precip;weekend;beer_consumption
2015-03-25;21,56;17,1;27,9;0;False;22.401
2015-03-26;22,98;18,3;29,8;0;False;27.989
2015-03-27;23,32;18;30,8;0;False;24.974
2015-03-28;23,28;19,1;29,5;0;True;29.760
2015-03-29;22,14;20,5;26,6;0;True;26.116
2015-03-30;22,5;19;25,9;18,6;False;25.850
2015-03-31;23,14;20,1;29;1;False;24.925
2015-04-01;22,52;19,2;27,5;0;False;21.979
2015-04-02;20,92;18,2;26,2;0;False;22.116
2015-04-03;21,02;16,3;27,2;0;False;24.867
2015-04-04;22,36;17,9;29,4;0;True;33.450
2015-04-05;22,82;20,1;26,4;0;True;32.713
2015-04-06;21,36;18,5;27,7;0;False;22.356
2015-04-07;17,38;16,1;20;7,1;False;21.004
2015-04-08;18,68;14,7;24,3;0,4;False;23.362
2015-04-09;19,4;15,9;;0;False;20.298
2015-04-10;20,46;17;25,5;0;False;24.862
2015-04-11;21,74;17,2;28,4;0;True;30.505
2015-04-12;19,92;16,8;25,7;0;True;25.070
2015-04-13;20,88;18,1;25,7;0;False;22.620
2015-04-14;21,7;18,4;28,8;0;False;22.001
2015-04-15;21,94;18,5;27,4;0;False;23.469
2015-04-16;21,26;18,6;26,7;25,4;False;21.735
2015-04-17;21,42;18,4;27;37,2;False;21.593
2015-04-18;23,36;18,2;29,3;0;True;33.822
2015-04-19;22,5;20,3;27,2;0;True;28.028
2015-04-20;24;19,3;29,2;20,2;False;24.304
2015-04-21;22,52;19,3;29;0;False;31.108
2015-04-22;20,06;18,9;21,6;2,4;False;19.113
2015-04-23;21,2;18,6;24,9;14,6;False;23.198
2015-04-24;22,52;19,3;0;0;False;24.388
2015-04-25;19,18;17,4;23,3;0;True;27.420
2015-04-26;19,04;16,1;23,7;0,8;True;30.479
2015-04-27;19,82;;24,9;0;False;21.838
2015-04-28;20,26;17,2;26,9;0;False;20.812
2015-04-29;18,66;16,8;22,7;0;False;19.761
2015-04-30;16,22;14,7;18,7;0;False;20.452
2015-05-01;17,34;13,4;22;0;False;17.939
2015-05-02;19,26;14,7;26,4;0;True;25.272
2015-05-03;21,04;15,8;26,3;0;True;28.049
2015-05-04;19,96;17,9;22,3;1;False;25.317
2015-05-05;18,14;16,6;20,8;9,9;False;21.826
2015-05-06;17,76;15,9;20,4;0;False;20.680
2015-05-07;17,8;15,8;21,7;0;False;19.143
2015-05-08;16,14;13,9;19,2;0;False;18.146
2015-05-09;18,04;13,7;26,1;0;True;25.489
2015-05-10;16,94;13,7;21;0;True;23.537
2015-05-11;17,86;15,7;20,6;22,2;False;16.956
2015-05-12;17,12;14,2;21,7;0;False;19.052
2015-05-13;16,34;14,7;18,9;2,8;False;17.287
2015-05-14;16,72;14,2;21;0;False;20.300
2015-05-15;16,84;13,6;21,5;0;False;20.538
2015-05-16;17,18;13,2;22,3;0;True;23.702
2015-05-17;18,26;15,4;22,4;0;True;28.411
2015-05-18;18,6;16,6;21,3;0;False;21.073
2015-05-19;18,64;17;22,9;0;False;24.215
2015-05-20;18,74;15,9;23,3;0,2;False;19.525
2015-05-21;19,46;16,3;25;0;False;20.786
2015-05-22;20,26;16,3;25,4;0;False;20.429
2015-05-23;19,94;15,9;24,4;0;True;27.250
2015-05-24;21,8;17,9;26,3;0;True;31.387
2015-05-25;22,06;17,5;27,4;0;False;26.075
2015-05-26;21,28;19,7;24,8;0;False;22.162
2015-05-27;22,94;19,7;27,1;0;False;24.258
2015-05-28;18,56;16,8;23,2;1,8;False;24.683
2015-05-29;17,68;15,3;21,9;7,2;False;21.245
2015-05-30;17,52;13,1;22,9;0;True;25.937
